iter	Passed	Remaining
0	77	77235
1	153	76490
2	221	73633
3	284	70875
4	346	69005
5	412	68355
6	481	68240
7	543	67405
8	611	67294
9	674	66751
10	740	66548
11	806	66424
12	876	66561
13	940	66231
14	1002	65822
15	1056	64955
16	1117	64630
17	1180	64413
18	1244	64280
19	1306	64023
20	1371	63943
21	1431	63627
22	1524	64770
23	1600	65076
24	1662	64849
25	1730	64825
26	1789	64495
27	1850	64246
28	1916	64185
29	1982	64085
30	2048	64022
31	2110	63850
32	2175	63750
33	2238	63608
34	2304	63551
35	2370	63472
36	2440	63519
37	2504	63414
38	2565	63205
39	2625	63014
40	2690	62923
41	2760	62956
42	2825	62892
43	2891	62827
44	2953	62682
45	3014	62510
46	3071	62287
47	3139	62258
48	3203	62171
49	3270	62143
50	3339	62143
51	3409	62163
52	3474	62082
53	3566	62482
54	3641	62561
55	3712	62580
56	3779	62519
57	3838	62337
58	3906	62304
59	3975	62289
60	4044	62258
61	4115	62264
62	4183	62222
63	4254	62217
64	4330	62299
65	4399	62257
66	4473	62288
67	4547	62334
68	4623	62383
69	4696	62392
70	4769	62408
71	4848	62487
72	4923	62526
73	5003	62611
74	5076	62608
75	5147	62586
76	5219	62572
77	5324	62940
78	5474	63820
79	5576	64127
80	5694	64602
81	5817	65128
82	5893	65117
83	5976	65177
84	6049	65116
85	6126	65108
86	6210	65175
87	6290	65196
88	6375	65261
89	6447	65188
90	6577	65700
91	6686	65993
92	6782	66151
93	6875	66271
94	6966	66360
95	7035	66252
96	7104	66134
97	7291	67111
98	7361	66994
99	7424	66823
100	7493	66701
101	7557	66539
102	7623	66386
103	7686	66224
104	7757	66119
105	7824	65989
106	7896	65900
107	7965	65789
108	8033	65671
109	8097	65520
110	8171	65443
111	8236	65301
112	8302	65169
113	8370	65052
114	8432	64897
115	8504	64806
116	8571	64685
117	8636	64557
118	8700	64416
119	8770	64317
120	8836	64193
121	8899	64049
122	8961	63896
123	9024	63756
124	9084	63589
125	9146	63441
126	9211	63319
127	9270	63153
128	9336	63042
129	9407	62954
130	9469	62816
131	9539	62729
132	9603	62602
133	9671	62500
134	9733	62364
135	9802	62275
136	9871	62183
137	9940	62089
138	10000	61942
139	10063	61821
140	10128	61706
141	10196	61608
142	10266	61528
143	10331	61416
144	10393	61288
145	10469	61240
146	10549	61215
147	10633	61216
148	10712	61180
149	10794	61171
150	10870	61119
151	10943	61054
152	11023	61024
153	11095	60953
154	11166	60877
155	11222	60716
156	11281	60572
157	11343	60451
158	11399	60294
159	11464	60189
160	11525	60062
161	11591	59958
162	11652	59834
163	11717	59732
164	11787	59652
165	11850	59535
166	11918	59451
167	11978	59320
168	12044	59224
169	12100	59077
170	12169	58999
171	12236	58905
172	12302	58811
173	12371	58727
174	12443	58660
175	12505	58548
176	12573	58463
177	12639	58367
178	12696	58232
179	12763	58145
180	12832	58065
181	12893	57951
182	12953	57829
183	13015	57722
184	13076	57607
185	13145	57527
186	13206	57416
187	13288	57394
188	13354	57304
189	13447	57329
190	13519	57261
191	13591	57195
192	13662	57128
193	13733	57059
194	13800	56969
195	13872	56906
196	13937	56813
197	14002	56715
198	14079	56670
199	14154	56618
200	14225	56546
201	14294	56469
202	14365	56399
203	14436	56332
204	14510	56271
205	14586	56222
206	14664	56178
207	14735	56109
208	14806	56038
209	14886	56000
210	14959	55937
211	15096	56114
212	15169	56046
213	15250	56012
214	15385	56174
215	15494	56241
216	15581	56223
217	15644	56118
218	15711	56029
219	15780	55950
220	15859	55903
221	15928	55820
222	16028	55847
223	16129	55877
224	16229	55902
225	16316	55881
226	16397	55837
227	16488	55828
228	16585	55840
229	16705	55927
230	16826	56015
231	16924	56025
232	17018	56021
233	17105	55996
234	17188	55955
235	17339	56132
236	17491	56310
237	17564	56235
238	17625	56120
239	17694	56031
240	17761	55936
241	17833	55860
242	17910	55794
243	17986	55729
244	18080	55718
245	18152	55637
246	18224	55558
247	18294	55473
248	18359	55374
249	18425	55277
250	18497	55198
251	18572	55127
252	18637	55028
253	18710	54952
254	18787	54887
255	18915	54974
256	18997	54922
257	19067	54838
258	19132	54736
259	19198	54641
260	19250	54506
261	19304	54375
262	19365	54268
263	19436	54185
264	19502	54091
265	19576	54020
266	19657	53964
267	19732	53896
268	19812	53839
269	19882	53757
270	19970	53720
271	20045	53650
272	20119	53577
273	20195	53510
274	20272	53444
275	20352	53387
276	20430	53325
277	20510	53269
278	20592	53215
279	20673	53161
280	20758	53115
281	20839	53060
282	20904	52962
283	20974	52878
284	21031	52763
285	21085	52639
286	21137	52512
287	21193	52396
288	21246	52271
289	21299	52148
290	21353	52026
291	21409	51910
292	21466	51797
293	21524	51688
294	21590	51598
295	21655	51505
296	21720	51412
297	21819	51399
298	21932	51419
299	22002	51338
300	22070	51253
301	22137	51164
302	22202	51072
303	22266	50978
304	22329	50883
